,,,,Overall,Overall,SRS,SRS,SRS,Scoring,Scoring,Passing,Passing,Rushing,Rushing,Total,Total
Rk,School,Conf,AP Rank,W,L,OSRS,DSRS,SRS,Off,Def,Off,Def,Off,Def,Off,Def
108,Ball State,MAC (West),,4,8,-5.02,-4.50,-9.52,73.73,-17.05,11.23,2.67,7.60,1.96,8.91,2.61
109,Nevada-Las Vegas,MWC (West),,4,8,-0.78,-8.88,-9.66,77.91,-12.49,10.31,3.34,8.42,2.05,8.79,3.07
110,Louisville,ACC (Atlantic),,2,10,-3.76,-6.14,-9.91,76.08,-12.14,11.80,2.95,8.38,2.38,9.45,2.94
111,East Carolina,American (East),,3,9,-7.26,-2.67,-9.93,71.35,-16.32,10.82,3.37,6.97,0.49,8.46,2.25
112,Oregon State,Pac-12 (North),,2,10,0.63,-11.09,-10.46,78.88,-7.70,12.39,2.69,7.60,3.50,9.42,3.32
113,Massachusetts,Ind,,4,8,2.37,-13.15,-10.78,82.63,-8.20,13.39,3.81,7.11,2.26,9.70,3.23
114,Akron,MAC (East),,4,8,-9.34,-1.52,-10.86,69.59,-21.89,11.40,1.60,6.53,1.56,8.38,1.95
115,New Mexico,MWC (Mountain),,3,9,-3.78,-7.58,-11.36,76.20,-14.13,11.88,3.83,7.04,1.50,8.44,2.84
116,Old Dominion,CUSA (East),,4,8,-2.27,-10.40,-12.66,78.81,-12.19,11.84,2.95,6.97,2.25,8.95,2.97
117,Colorado State,MWC (Mountain),,3,9,-5.49,-7.25,-12.74,73.03,-15.25,11.99,4.21,6.92,2.18,9.23,3.26
118,San Jose State,MWC (West),,1,11,-5.85,-6.94,-12.79,72.81,-14.99,11.82,3.16,5.55,1.46,8.47,2.60
119,South Alabama,Sun Belt,,3,9,-5.37,-8.15,-13.52,74.02,-12.06,12.53,4.13,7.14,1.33,8.87,2.93
120,Georgia State,Sun Belt,,2,10,-4.68,-9.19,-13.86,73.84,-13.61,11.71,4.31,8.00,2.93,9.12,3.97
121,Bowling Green State,MAC (East),,3,9,-5.74,-8.47,-14.21,72.61,-11.62,11.80,2.88,6.71,2.46,8.73,2.95
122,Western Kentucky,CUSA (East),,3,9,-9.54,-4.70,-14.24,68.51,-19.93,10.95,2.82,6.79,1.39,8.34,2.51
123,Kent State,MAC (East),,2,10,-7.55,-6.75,-14.30,71.53,-15.21,10.89,3.49,7.18,1.38,8.40,2.53
124,Texas State,Sun Belt,,3,9,-9.78,-4.57,-14.35,66.74,-19.15,10.94,1.78,7.24,1.29,8.42,2.02
125,Central Michigan,MAC (West),,1,11,-12.59,-2.08,-14.67,65.74,-21.44,9.46,1.36,6.65,1.33,7.45,1.63
126,UTSA,CUSA (West),,3,9,-13.86,-2.84,-16.70,64.53,-15.24,9.58,4.95,6.19,1.14,7.40,3.17
127,New Mexico State,Ind,,3,9,-5.02,-12.79,-17.81,73.27,-7.22,10.71,3.10,6.70,1.84,8.45,2.67
128,Connecticut,American (East),,1,11,-6.65,-11.36,-18.01,72.00,-3.09,11.12,5.77,8.45,4.37,9.09,5.22
129,Rice,CUSA (West),,2,11,-11.24,-7.94,-19.18,67.08,-14.54,10.85,4.66,7.08,1.78,8.25,3.52
130,UTEP,CUSA (West),,1,11,-12.60,-10.31,-22.91,65.64,-13.65,11.29,3.24,6.84,2.23,8.30,2.93
