,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Total Offense,Total Offense,Total Offense,First Downs,First Downs,First Downs,First Downs,Penalties,Penalties,Turnovers,Turnovers,Turnovers
Rk,School,G,Pts,Cmp,Att,Pct,Yds,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,Pass,Rush,Pen,Tot,No.,Yds,Fum,Int,TO
63,Middle Tennessee State,12,28.0,21.3,31.6,67.5,252.6,1.8,40.8,188.3,4.6,1.8,72.4,440.8,6.1,11.7,10.8,0.9,23.3,4.5,41.0,1.3,1.0,2.3
64,Louisiana,13,28.1,22.4,36.5,61.3,283.5,1.6,36.3,144.6,4.0,1.5,72.8,428.1,5.9,11.7,8.5,1.9,22.2,6.9,58.7,0.6,1.0,1.6
65,Oklahoma State,13,28.2,25.5,41.8,60.8,280.0,1.5,37.7,141.7,3.8,1.5,79.5,421.7,5.3,12.6,8.9,1.9,23.5,6.2,46.0,0.8,0.8,1.7
66,Auburn,12,28.3,19.6,29.8,65.6,222.9,1.7,40.3,197.6,4.9,1.9,70.2,420.5,6.0,10.1,10.0,1.8,21.9,4.3,34.2,0.9,0.2,1.1
67,Georgia Tech,14,28.3,19.2,32.0,60.0,229.8,1.6,33.7,144.2,4.3,1.9,65.7,374.0,5.7,10.3,7.9,1.1,19.3,4.8,38.2,0.6,1.1,1.8
68,Missouri,12,28.4,21.8,33.4,65.1,241.4,1.6,37.6,149.3,4.0,2.2,71.0,390.7,5.5,11.4,7.6,1.4,20.4,6.2,46.9,1.3,0.6,1.9
69,Toledo,13,28.4,23.8,38.5,61.7,290.8,2.0,34.2,182.3,5.3,1.5,72.8,473.2,6.5,13.0,8.3,2.4,23.7,5.6,52.5,0.8,1.3,2.1
70,Buffalo,12,28.5,15.8,28.4,55.4,208.3,1.5,41.8,155.4,3.7,1.8,70.2,363.7,5.2,9.9,7.8,1.4,19.1,5.7,56.5,0.3,1.1,1.3
71,UTSA,12,28.8,22.3,34.7,64.4,271.9,2.2,32.4,107.8,3.3,1.3,67.1,379.8,5.7,12.5,5.8,2.7,21.0,6.6,59.3,1.3,1.1,2.4
72,Virginia,12,28.9,18.9,32.9,57.5,208.4,1.9,36.3,144.9,4.0,1.4,69.3,353.3,5.1,9.5,7.5,1.6,18.6,5.5,42.3,0.7,0.3,1.0
73,Air Force,13,29.0,17.9,26.4,67.9,210.6,1.5,44.2,198.8,4.5,2.1,70.6,409.4,5.8,10.1,10.2,0.6,20.8,4.8,37.8,0.6,0.6,1.2
74,Louisiana-Monroe,13,29.2,22.0,35.2,62.6,276.5,2.2,35.9,142.2,4.0,1.6,71.1,418.8,5.9,11.1,8.9,1.5,21.5,6.5,58.5,0.8,1.2,2.0
75,Texas,13,29.2,16.0,27.0,59.3,212.0,1.2,41.4,192.2,4.6,2.2,68.4,404.2,5.9,8.5,10.7,1.4,20.6,5.2,47.8,0.5,1.2,1.6
76,South Alabama,13,29.5,16.5,28.3,58.4,218.5,1.9,39.5,164.5,4.2,1.6,67.8,382.9,5.7,9.4,8.2,2.5,20.1,7.2,62.6,0.8,0.8,1.6
77,Boston College,12,29.7,22.3,35.8,62.5,242.3,1.8,45.8,214.1,4.7,1.7,81.6,456.4,5.6,10.8,11.9,0.7,23.3,7.1,62.8,0.8,0.8,1.6
78,Western Michigan,12,29.7,19.5,32.3,60.5,240.8,1.6,38.5,155.2,4.0,1.8,70.8,395.9,5.6,11.1,8.2,1.6,20.8,6.8,57.8,0.8,0.7,1.4
79,UTEP,12,29.8,19.3,32.2,59.8,246.0,1.5,39.9,194.2,4.9,2.0,72.1,440.2,6.1,10.4,10.6,1.3,22.3,4.7,40.7,1.0,0.6,1.6
80,Rice,13,30.0,16.4,29.1,56.3,235.2,1.6,38.9,190.7,4.9,2.3,68.0,425.9,6.3,9.5,9.5,1.4,20.5,5.8,52.4,1.2,0.8,2.1
81,New Mexico,13,30.2,20.8,32.1,65.0,269.2,2.5,32.9,174.9,5.3,1.5,65.0,444.2,6.8,12.2,8.5,1.2,21.8,5.9,47.8,1.1,0.8,1.9
82,Colorado State,12,30.3,18.3,30.3,60.2,203.2,2.1,43.3,202.4,4.7,1.6,73.7,405.6,5.5,10.1,10.8,2.1,22.9,5.0,48.8,1.2,0.6,1.8
83,Arkansas,12,30.4,21.8,34.9,62.5,285.8,2.0,36.7,124.1,3.4,1.8,71.6,409.9,5.7,12.9,7.2,1.3,21.4,5.5,45.9,0.5,0.5,1.0
84,Miami (FL),12,30.5,21.8,35.8,60.8,268.5,1.3,43.8,217.9,5.0,2.4,79.6,486.4,6.1,11.8,11.8,2.6,26.2,6.8,54.8,0.9,0.9,1.8
85,Troy,12,30.5,17.6,31.0,56.7,258.4,2.2,39.1,185.2,4.7,1.4,70.1,443.6,6.3,10.5,9.2,1.8,21.4,7.3,61.7,1.2,0.5,1.7
86,Florida Atlantic,12,30.8,13.2,23.8,55.2,204.0,1.7,42.0,202.1,4.8,1.9,65.8,406.1,6.2,8.3,9.8,1.8,19.8,5.3,44.2,0.8,0.7,1.4
87,Kentucky,12,31.0,20.6,30.6,67.3,229.8,1.8,40.1,161.3,4.0,2.1,70.7,391.0,5.5,10.6,10.1,1.7,22.3,5.3,39.8,0.6,0.4,1.0
88,Purdue,13,31.2,20.0,34.4,58.2,233.9,1.6,38.5,182.3,4.7,1.8,72.8,416.2,5.7,9.6,9.8,1.7,21.1,5.8,47.5,0.8,1.1,1.9
89,Temple,11,31.2,16.2,27.0,59.9,237.4,1.9,42.5,199.8,4.7,1.9,69.5,437.2,6.3,9.8,10.0,1.7,21.5,6.2,56.2,1.2,0.4,1.5
90,East Carolina,13,31.6,21.5,36.5,58.7,275.7,2.2,35.9,155.0,4.3,1.6,72.5,430.7,5.9,11.8,9.1,1.5,22.4,5.8,51.6,0.9,0.8,1.7
91,Florida International,12,31.7,22.1,36.4,60.6,262.1,2.0,35.7,140.8,3.9,1.9,72.1,402.9,5.6,10.8,7.9,1.5,20.3,6.3,54.9,0.7,0.8,1.5
92,Texas Tech,13,31.8,15.3,28.2,54.4,192.0,1.9,40.2,175.3,4.4,1.5,68.3,367.3,5.4,8.5,10.2,1.5,20.2,5.5,53.0,0.2,0.6,0.8
93,Wake Forest,12,31.8,21.3,34.3,62.0,266.8,1.8,40.8,166.1,4.1,1.8,75.0,432.8,5.8,12.2,8.3,1.0,21.4,5.7,45.8,1.0,0.9,1.9
94,Ball State,13,32.0,20.3,32.8,61.8,255.3,2.2,40.2,207.1,5.2,1.8,73.0,462.4,6.3,11.8,10.6,1.8,24.2,7.4,71.3,0.5,0.5,1.1
95,Illinois,12,32.1,15.0,24.0,62.5,193.7,1.8,42.8,193.9,4.5,2.3,66.8,387.6,5.8,7.4,11.1,1.1,19.6,4.8,39.6,0.9,0.6,1.5
96,Central Michigan,13,32.4,20.1,32.3,62.1,241.1,1.8,39.3,192.8,4.9,2.2,71.6,433.9,6.1,10.8,10.2,1.1,22.1,6.5,56.3,0.4,1.0,1.4
97,UNLV,13,32.6,17.2,28.8,59.7,238.2,1.5,45.0,207.1,4.6,2.2,73.8,445.2,6.0,9.3,11.4,2.1,22.8,6.2,60.9,0.6,0.7,1.3
98,California,12,33.1,24.2,38.1,63.5,271.9,2.7,39.8,169.3,4.3,1.5,77.8,441.3,5.7,12.3,9.5,3.1,24.8,8.3,76.2,0.8,1.2,1.9
99,Wyoming,12,33.4,20.3,31.0,65.3,237.9,2.2,44.3,232.3,5.3,1.9,75.3,470.3,6.2,11.8,11.5,1.6,24.8,6.0,53.5,1.2,0.5,1.7
100,Texas State,12,33.5,20.7,34.0,60.8,252.9,2.2,40.8,231.8,5.7,2.1,74.8,484.8,6.5,11.8,12.1,1.9,25.8,5.9,60.4,1.0,1.2,2.2
101,Washington State,12,33.7,22.3,34.1,65.5,262.7,2.2,40.8,163.3,4.0,1.8,74.9,425.9,5.7,12.1,9.3,1.5,22.8,8.5,79.3,0.5,1.3,1.8
102,Nevada,13,33.8,18.5,33.0,55.9,230.6,2.1,41.5,211.8,5.1,2.1,74.5,442.5,5.9,11.3,10.9,2.3,24.5,6.4,55.5,0.9,0.5,1.4
103,Miami (OH),12,34.9,18.1,29.7,61.0,226.6,1.4,44.1,241.1,5.5,2.9,73.8,467.7,6.3,11.6,11.8,1.3,24.7,6.0,57.8,0.2,1.0,1.2
104,Arizona,13,35.3,23.8,38.5,61.8,292.8,1.9,45.0,206.2,4.6,2.5,83.5,499.0,6.0,13.0,11.2,1.8,26.1,9.5,91.4,1.2,0.9,2.1
105,Army,12,35.3,13.5,21.2,63.8,195.0,1.6,42.4,232.3,5.5,2.9,63.6,427.3,6.7,8.3,11.8,0.9,20.9,4.2,37.6,0.6,0.6,1.2
106,Indiana,12,35.3,18.5,29.7,62.4,232.2,1.9,46.2,231.3,5.0,2.4,75.8,463.5,6.1,10.7,11.7,1.7,24.0,6.0,60.1,0.5,0.6,1.1
107,Akron,12,35.7,19.3,31.7,61.1,238.9,2.5,43.1,211.1,4.9,1.8,74.8,450.0,6.0,10.9,11.4,2.3,24.6,5.9,49.5,0.7,0.4,1.1
108,Hawaii,12,35.7,14.1,25.7,54.9,182.8,1.7,43.5,190.2,4.4,2.8,69.2,372.9,5.4,7.7,9.9,1.8,19.4,6.3,62.3,0.8,0.8,1.6
109,Tennessee,12,35.7,22.7,37.2,61.0,282.5,2.2,39.8,188.8,4.8,2.1,76.9,471.3,6.1,12.4,8.4,1.5,22.3,5.2,41.4,0.4,1.0,1.4
110,Duke,13,36.0,17.2,29.9,57.6,267.6,2.2,40.3,201.5,5.0,2.0,70.2,469.2,6.7,9.5,10.6,1.1,21.2,6.2,54.6,0.9,0.8,1.8
111,Houston,12,36.0,25.2,42.5,59.2,290.3,2.1,43.4,192.8,4.4,1.9,85.9,483.0,5.6,13.3,11.0,2.0,26.3,6.7,60.5,1.0,1.6,2.6
112,Kansas,12,36.1,22.7,33.6,67.5,289.3,2.2,37.5,192.6,5.1,2.2,71.1,481.8,6.8,12.5,10.0,0.8,23.3,4.9,48.2,0.8,0.9,1.7
113,Baylor,13,37.2,27.5,43.8,62.7,323.5,2.8,39.3,178.7,4.5,2.2,83.1,502.2,6.0,14.7,10.2,1.6,26.5,5.8,48.3,0.5,1.4,1.9
114,UAB,12,37.5,19.3,29.7,65.2,244.6,1.8,39.8,182.7,4.6,2.8,69.4,427.3,6.2,10.8,9.3,1.6,21.6,5.8,56.7,1.0,0.5,1.5
115,Eastern Michigan,12,37.6,17.3,29.2,59.4,212.8,1.5,42.5,267.0,6.3,2.8,71.7,479.8,6.7,9.3,12.3,1.8,23.3,5.0,43.7,0.8,0.6,1.3
116,Southern Mississippi,12,37.8,18.3,28.2,64.8,219.0,1.9,41.7,207.5,5.0,2.8,69.8,426.5,6.1,9.7,11.0,1.5,22.2,5.5,52.8,0.6,0.4,1.0
117,West Virginia,13,38.1,21.3,33.4,63.8,312.5,2.9,42.2,159.9,3.8,1.8,75.5,472.5,6.3,12.5,9.5,1.3,23.3,6.8,60.4,0.8,0.8,1.5
118,Tulane,12,38.4,17.7,31.7,55.8,259.7,1.9,44.0,222.9,5.1,2.5,75.7,482.6,6.4,10.9,12.0,2.0,24.9,5.7,54.3,0.8,1.3,2.0
119,Louisiana Tech,12,38.5,25.0,41.3,60.6,340.4,2.9,39.2,185.7,4.7,2.1,80.4,526.1,6.5,14.3,9.1,2.5,25.9,9.8,94.4,1.3,0.8,2.2
120,New Mexico State,12,39.4,19.4,31.8,61.2,254.8,2.3,39.2,221.4,5.7,2.3,70.9,476.2,6.7,10.7,10.6,1.4,22.7,7.1,65.3,0.4,0.3,0.8
121,Massachusetts,12,40.2,19.1,29.5,64.7,235.8,2.2,42.7,225.6,5.3,2.8,72.2,461.3,6.4,11.3,10.9,1.4,23.6,7.7,64.8,0.5,1.1,1.6
122,Idaho,12,42.4,21.8,33.6,64.8,275.6,2.3,38.3,198.7,5.2,3.1,71.8,474.3,6.6,12.2,9.1,2.2,23.4,6.6,48.5,1.1,0.8,1.8
123,Marshall,12,43.1,23.1,35.5,65.0,253.5,2.5,43.9,203.1,4.6,2.5,79.4,456.6,5.7,12.8,10.3,2.5,25.5,6.7,55.4,0.8,0.8,1.5
124,Colorado,12,46.0,20.7,30.5,67.8,262.5,3.3,38.2,226.0,5.9,2.3,68.7,488.5,7.1,12.3,10.6,1.4,24.3,6.9,64.1,1.0,0.3,1.3
